pass,state,(ms),marker,blend,mask,draws,instances,verts,z,c
pass1__z_2048x2048,Copy,0.000,InitViews,1,0,0,None,
pass1__z_2048x2048,Clear,0.000,ThirdPersonExampleMap.LightSource_0,1,0,0,None,
pass1__z_2048x2048,s_vs_209315__ps_209314,0.098,M_UE4Man_Body_SK_Mannequin,1,0,32094,vs_209315,ps_209314
pass1__z_2048x2048,s_vs_214514__ps_214513,0.049,M_UE4Man_Body_SK_Mannequin,1,0,72,vs_214514,ps_214513
pass2__zc_880x432,Clear,0.000,MobileSceneRender,2,0,0,None,
pass2__zc_880x432,s_vs_3813__ps_3814,0.143,MobileSceneRender,1,0,4,vs_3813,ps_3814
pass2__zc_880x432,s_vs_211618__ps_211617,0.370,RampMaterial_RightArm_StaticMesh,5,0,672,vs_211618,ps_211617
pass2__zc_880x432,s_vs_209656__ps_209655,0.485,CubeMaterial_1M_Cube,5,0,1104,vs_209656,ps_209655
pass2__zc_880x432,s_vs_207318__ps_207317,0.118,M_Sky_Panning_Clouds2_SM_SkySphere,1,0,11904,vs_207318,ps_207317
pass2__zc_880x432,s_vs_209318__ps_209317,0.160,M_UE4Man_Body_SK_Mannequin,1,0,32094,vs_209318,ps_209317
pass2__zc_880x432,s_vs_214525__ps_214524,0.034,M_UE4Man_Body_SK_Mannequin,1,0,72,vs_214525,ps_214524
pass2__zc_880x432,s_vs_17785__ps_17784,0.047,HelpActorMaterial_None,1,0,4,vs_17785,ps_17784
pass2__zc_880x432,s_vs_17788__ps_17787,0.098,DefaultTextMaterialOpaque_None,1,0,72,vs_17788,ps_17787
pass2__zc_880x432,s_vs_17792,0.036,PerObject_ThirdPersonCharacter_167,1,0,36,vs_17792,
pass2__zc_880x432,s_vs_214534__ps_214533,0.037,M_UE4Man_Body_SK_Mannequin,1,0,72,vs_214534,ps_214533
pass2__zc_880x432,s_vs_209322__ps_209321,0.082,M_UE4Man_Body_SK_Mannequin,1,0,32094,vs_209322,ps_209321
pass2__zc_880x432,s_vs_17792__ps_17797,0.063,PerObject_ThirdPersonCharacter_167,1,0,36,vs_17792,ps_17797
pass3__c_220x108,s_vs_17861__ps_17862,0.111,BloomSetup_220x108_PS,1,0,3,vs_17861,ps_17862
pass4__c_110x54,Clear,0.000,BloomDown_110x54_PS,1,0,0,None,
pass4__c_110x54,s_vs_17864__ps_17865,0.047,BloomDown_110x54_PS,1,0,3,vs_17864,ps_17865
pass5__c_55x27,Clear,0.000,BloomDown_55x27_PS,1,0,0,None,
pass5__c_55x27,s_vs_17864__ps_17865,0.076,BloomDown_55x27_PS,1,0,3,vs_17864,ps_17865
pass6__c_28x14,Clear,0.000,BloomDown_28x14_PS,1,0,0,None,
pass6__c_28x14,s_vs_17864__ps_17865,0.032,BloomDown_28x14_PS,1,0,3,vs_17864,ps_17865
pass7__c_14x7,Clear,0.000,BloomDown_14x7_PS,1,0,0,None,
pass7__c_14x7,s_vs_17864__ps_17865,0.029,BloomDown_14x7_PS,1,0,3,vs_17864,ps_17865
pass8__c_28x14,Clear,0.000,BloomUp_28x14_PS,1,0,0,None,
pass8__c_28x14,s_vs_17867__ps_17868,0.041,BloomUp_28x14_PS,1,0,3,vs_17867,ps_17868
pass9__c_55x27,Clear,0.000,BloomUp_55x27_PS,1,0,0,None,
pass9__c_55x27,s_vs_17867__ps_17868,0.073,BloomUp_55x27_PS,1,0,3,vs_17867,ps_17868
pass10__c_110x54,Clear,0.000,BloomUp_110x54_PS,1,0,0,None,
pass10__c_110x54,s_vs_17867__ps_17868,0.041,BloomUp_110x54_PS,1,0,3,vs_17867,ps_17868
pass11,s_cs_3800,0.050,ClearBuffer_EyeAdaptationSetupBuffer_...,1,0,0,cs_3800,
pass11,s_cs_17870,0.070,HistogramEyeAdaptation_CS,1,0,0,cs_17870,
pass12__c_220x108,Clear,0.000,SunMerge_220x108_PS,1,0,0,None,
pass12__c_220x108,s_vs_17871__ps_17872,0.055,SunMerge_220x108_PS,1,0,3,vs_17871,ps_17872
pass13__c_1024x32,s_vs_17874__ps_17875,0.128,CombineLUTS_PS,1,0,3,vs_17874,ps_17875
pass14__c_880x432,Clear,0.000,Tonemap_880x432_PS_GammaOnly=0,1,0,0,None,
pass14__c_880x432,s_vs_17877__ps_17878,0.196,Tonemap_880x432_PS_GammaOnly=0,1,0,3,vs_17877,ps_17878
pass15__z_880x432,Clear,0.000,OutlineDepth_880x432,1,0,0,None,
pass15__z_880x432,s_vs_3813__ps_3814,0.105,OutlineDepth_880x432,4,0,16,vs_3813,ps_3814
pass16__c_880x432,s_vs_17874__ps_17880,0.205,OutlineColor_880x432,1,0,3,vs_17874,ps_17880
pass17__zc_880x432,Clear,0.000,PopulateDepth,2,0,0,None,
pass17__zc_880x432,s_vs_17874__ps_17882,0.256,PopulateDepth,1,0,3,vs_17874,ps_17882
pass17__zc_880x432,Clear,0.000,EditorPrimitives,1,0,0,None,
pass17__zc_880x432,s_vs_188472__ps_188471,0.189,GizmoMaterial_None,4,0,1128,vs_188472,ps_188471
pass17__zc_880x432,s_vs_108698__ps_108697,0.089,LevelColorationUnlitMaterial_None,2,0,96,vs_108698,ps_108697
pass17__zc_880x432,s_vs_209972__ps_209971,0.051,LevelGridMaterial2_None,1,0,600,vs_209972,ps_209971
pass17__zc_880x432,s_vs_17886__ps_17887,0.049,RenderViewEditorPrimitives_880x432_ms...,1,0,136,vs_17886,ps_17887
pass17__zc_880x432,s_vs_17886__ps_17891,0.205,RenderViewEditorPrimitives_880x432_ms...,6,0,48,vs_17886,ps_17891
pass18__c_880x432,s_vs_17874__ps_17893,0.388,Composite_880x432_msaa=1,1,0,3,vs_17874,ps_17893
pass19__c_1100x539,Clear,0.000,Upscale_PrimaryToOutput_1100x539,1,0,0,None,
pass19__c_1100x539,s_vs_17874__ps_17895,0.128,Upscale_PrimaryToOutput_1100x539,1,0,3,vs_17874,ps_17895
pass19__c_1100x539,s_vs_17886__ps_17897,0.042,,1,0,2,vs_17886,ps_17897
pass19__c_1100x539,s_vs_17886__ps_17901,0.037,,1,0,6,vs_17886,ps_17901
pass19__c_1100x539,s_vs_17886__ps_17897,0.032,,1,0,2,vs_17886,ps_17897
pass19__c_1100x539,s_vs_17886__ps_17901,0.037,,1,0,6,vs_17886,ps_17901
pass19__c_1100x539,s_vs_17886__ps_17897,0.033,,1,0,2,vs_17886,ps_17897
pass19__c_1100x539,s_vs_17886__ps_17901,0.021,,1,0,6,vs_17886,ps_17901
